id,Question,Model Answer,Average_Mark,Answer
633,What are the crimes of a breakthrough for a website?,"Change or steal or remove information that divide, sabotage and disable devices, change the face of sites, slow the browsing and interruption movement at intervals.",3,"Exploitation of user data grapes or publish this data ... This point is meant that the user data is confidential, but by penetrating the site will not become confidential, theft of data, penetrate the visitors of the site using a Trojan horse on the site, the offense of postgraduate photos on the website, dumping the site And to drop it permanently."
634,What are the crimes of a breakthrough for a website?,"Change or steal or remove information that divide, sabotage and disable devices, change the face of sites, slow the browsing and interruption movement at intervals.",2.75,"Theft and Change Information, Install Trace Software and Record Keyboard clicks for theft of passwords and credit card number."
635,What are the crimes of a breakthrough for a website?,"Change or steal or remove information that divide, sabotage and disable devices, change the face of sites, slow the browsing and interruption movement at intervals.",5,"Remove, theft, change the information on site, change the site interface sabotage or delete the site as a whole, slow in the site browsing."
636,What are the crimes of a breakthrough for a website?,"Change or steal or remove information that divide, sabotage and disable devices, change the face of sites, slow the browsing and interruption movement at intervals.",0.5,"Spyware and you are privacy invitation to illegal work contradictory for children harassment and exploitation, penetration crimes."
637,What are the crimes of a breakthrough for a website?,"Change or steal or remove information that divide, sabotage and disable devices, change the face of sites, slow the browsing and interruption movement at intervals.",4,"Connect the victim and device control device, the possibility of changing the interface or site design, spy and privacy violation, theft of information and the possibility of changing, disabled and ho, the possibility of defamation or clothing detection and looting"
638,What are the crimes of a breakthrough for a website?,"Change or steal or remove information that divide, sabotage and disable devices, change the face of sites, slow the browsing and interruption movement at intervals.",2.75,"Jesus, information and taking information, piracy, network control, loaded corrupt software."
639,What are the crimes of a breakthrough for a website?,"Change or steal or remove information that divide, sabotage and disable devices, change the face of sites, slow the browsing and interruption movement at intervals.",3.25,"Change, delete data, personalize, data piracy, publish data on site to the world."
640,What are the crimes of a breakthrough for a website?,"Change or steal or remove information that divide, sabotage and disable devices, change the face of sites, slow the browsing and interruption movement at intervals.",3.75,"Creative information, change or deletion, programs (systems) and devices, change the face of the site."
641,What are the crimes of a breakthrough for a website?,"Change or steal or remove information that divide, sabotage and disable devices, change the face of sites, slow the browsing and interruption movement at intervals.",2,"Change the site content, the site uses to access other blocked sites, a penetration crime."
642,What are the crimes of a breakthrough for a website?,"Change or steal or remove information that divide, sabotage and disable devices, change the face of sites, slow the browsing and interruption movement at intervals.",3,"Cracking passwords, theft of information, change or forging data, disabling or sabotage programs or devices."
643,What are the crimes of a breakthrough for a website?,"Change or steal or remove information that divide, sabotage and disable devices, change the face of sites, slow the browsing and interruption movement at intervals.",3.875,"Change the face site theft of special information, Identity and e-mail, create a scam on characters."
644,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,2.25,Spyware on users by recording and recording information and sending them automatically.
645,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,2,"Theft information, penetrate the device, the device, know the password, change or delete information, monitor user clicks and thus know all written information."
646,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,1.75,Record all that user writes on the Clavier keyboard for an password for example
647,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,2.75,"Obtain user passwords, when you break your computer, the hacker installs a program or virus that allows it to monitor all keyboard strikes."
648,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,2.5,Regulates keyboard clicks so that you can break your password stealing
649,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,3,Regulates all keyboard clicks and able to know the password for an e-mail account and grab it
650,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,3,Spy on the victim illegally is able to get everything the victim is written by the keyboard and therefore get different passwords and privacy information
651,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,3,Spyware on the keyboard clicks and send it to the criminal to be able to know the passwords and decryption
652,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,3.25,"The keyboard monitors save clicks on the keyboard to be able to get the hacker to detect confidential numbers, email and some special information"
653,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,2,Part of the protection system so that it reveals the user's identity once the keyboard is used
654,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,1.5,Used on a computer for spyware and for information and is illegal
655,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,1.75,All keyboard presses are recorded including confidential words
656,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,3,Register all that user writes on the keyboard for an password for example
657,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,2.5,"Keep track of passwords, record any separate keyboard."
658,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,1.5,Calculate keystrokes and pace to be able to give information about the person
659,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,2.5,It can monitor all the words that the user has written and so can learn passwords ... etc
660,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,3,Its function register any character writes by keyboard and is preceded by the theft of passwords previously written by the panel and even steal user information.
661,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,1.5,Record compressed keys as information and sends to the program to be able to use this information in the user piracy
662,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,2.5,"Follow the user keyboard strokes and move them to penetrate, even get all its confidential numbers"
663,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,2.5,The user logs on the keyboard for the purpose of detecting passwords and personal information and sending them to the hacker
664,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,0.25,Know the words and letters used on that keyboard and this to reduce the penetration
665,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,3,Spy on keyboard strokes and record where through which the hacker can know the password
666,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,2.5,"The keyboard monitor is saved all that has been written or pressed in the keyboard and can return to it, for example, keep the password people who use the device loaded"
667,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,5,"Used as a biological measurement to make sure I identity, knowing passwords or traffic numbers when breaking"
668,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,2.75,Spy by connecting it with a keyboard that stores strikes
669,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,2.75,Record all that user writes on the keyboard enables the criminal to retrieve all the characters entered by the victim
670,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,1.75,This program is recorded on each other keyboard
671,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,2.5,"His function tapping the compressed keys and sent to penetrate, obtain user passwords"
672,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,2.75,Record keyboard clicks so that you can break the password steal and spy on messages
673,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,2.25,The keyboard monitors save clicks on the keyboard to be able to obtain the hacker to detect email
674,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,2.5,A way to see what a computer is written and used by the hacker to see the confidential numbers and some special information
675,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,2.5,Monitor everything you do on the keyboard and from it monitors passwords
676,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,2.5,Combines and handles keystrokes to the perpetrator of the crime to steal secret numbers and spy
677,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,1.25,Get more of the passwords for users
678,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,3.5,"It is an anticipation program when you click in the keyboard, all the information is moved to automatically automatically and can be known as passwords"
679,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,3,"Store full keyboard strikes and storage computer information such as confidential joints, email and confidential words which facilitate the breakout"
680,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,3,Works on monitoring keyboard strikes for theft of passwords
681,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,2.25,Dismantling passwords and codes for users
682,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,2.75,Read keyboard pressures for users in order to detect the password
683,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,3,"A program based on the recording of user strikes on the keyboard, is often used to recognize the password (to steal your password) for other people"
684,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,1.75,See all that user enters using the keyboard
685,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,3,Monitor the compressed keys by user to extract passwords and names the user sensitive and send it to the hacker
686,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,3,Program proves to computers
687,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,2,"All keyboard strokes are recorded and sent by e-mail, for example"
688,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,2.25,Spyware on a certain device monitoring the movement of keys and the speed of the strike and recording what is written by the device and sends it to the penetration until the information gets
689,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,3,The clicks on the keyboard buttons are enabled through this to know credit card numbers and passwords
690,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,3,"Record keyboard clicks to transmit the information to a automatic permit, allowing it to steal confidential words for the user's personal information"
691,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,2.5,Theft of information or passwords from the victims through what they write with the keyboard
692,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,3.25,"Record signature and click keyboard for personal information as passwords, for example"
693,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,3,"Record presses on the keyboard and then send the information automatically to the hackers, learning and breaking secret numbers"
694,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,3,The keyboard records and sends them to the penetration which can detect passwords
695,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,2,The user is recorded through the keyboard as passwords and other sensitive information.
696,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,3,"This program tracks all clicks on the permission keyboard that allows you to encounter to learn all written words, including private information and passwords for all accounts"
697,What is the function of the keyboard monitor?,Register all keystrokes and thus all passwords entered on your computer and credit card numbers for theft and also used to prove identity as a vital measurement.,2,Record user clicks on the keyboard and move this information for the penetration
698,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,4.75,"Download Software, Download Software from the Internet, enter untrusted sites, open Euminat from anonymous sources."
699,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,3,"By downloading the Cracking program, entering some blocked sites."
700,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,0.75,Using the Trojans method for the redemption used that these programs are useful and unclear
701,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,2,"By opening suspicious sites or when loading programs, it has doubled himself, spreads by other programs."
702,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,4,Email or by downloading programs from the Internet
703,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,0.75,"Aldoud: The operating systems are used to attack directly, downloads: viruses viruses through antivirus programs."
704,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,3.75,"When you visit suspicious sites, when using the programs containing the Crack, the viruses; After you enter the computer copies itself, by linking other programs."
705,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,4,E-mail; Download files from the Internet
706,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,3,"Open in which virus programs are associated with: Vatican with other programs, the introduction of a flash disk in its virus, access to suspicious sites (pornographic; sexual ...),"
707,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,2.75,"Log in suspicious sites, download pirated programs using Flash in which viruses contribute to their spread, run anonymous software."
708,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,0.75,The viruses are engaged in the purchase of a program and are done when they are able to copy itself with another program.
709,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,2.75,"The most prominent methods of viruses are: Mail messages for electronic, trojans, downloads."
710,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,3.25,"Coupling with other programs, when downloading programs that contain viruses and spread."
711,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,3.25,The highlight of virus spread methods are visitable sites (pornographic sites and others) Download programs from non-official source
712,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,4.5,"Visit suspicious sites all pirated programs, which contain hack viruses and download the download program"
713,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,1.75,Trojans: It's a program that seems a useful but immediately after it runs by deploying viruses in the machine.
714,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,2.25,"Through the Internet publishing links to download, but they do not seem to virus, download programs and no antivirus on electronic devices."
715,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,2.25,"Browse suspicious sites, landing software."
716,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,3.25,"Download online programs, access to viruses automatically."
717,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,3.75,"Online as insecure sites, download Crack software, download malware, via software download sites, the program may include a virus, cross-email or devices"
718,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,0,One of the most prominent ways of spread viruses:
719,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,4,Via suspicious sites via unknown email states carrying images via other computer
720,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,3.75,Viruses usually spread via email or via programs loaded from the Internet
721,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,5,"The most prominent methods are email, when you download some pirated programs and when you visit some suspicious sites"
722,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,0,"Is a trojan horse, where a file or program seems to be normal at an end virus"
723,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,2.5,Viruses are a wicked program that voves data and is spread by entering sites or automatic bonds or on programs that are associated with virus
724,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,3.75,"Visit suspicious sites, use programs containing the CRACK, the device injury to landing software."
725,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,3.5,"Electronic messages that contain programs, websites."
726,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,1.75,"Viruses are spreading by hiding behind programs or e-mail as waiting for an attack (virus, ore). In addition to a Trojan horse, which is a peaceful and innocent program"
727,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,2.75,Either download programs and learn about suspicious links in the Internet such as the rugs
728,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,2.5,"Via applications, via associated devices, via sites, via free games."
729,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,0.5,"Trojans, downloads."
730,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,4.5,Viruses are spread via e-messages and are hidden via USB keys through websites or online downloads
731,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,3.25,"Open suspicious sites, spread through messages Trojan ads"
732,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,1,It is installed with programs and re-copies themselves to stimulate with other programs
733,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,2,Send messages via email tremendously to a large number of addresses
734,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,4,"Email, Loaded files from the Internet"
735,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,3.75,You are spreading by email or visiting some websites in the Internet
736,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,4.5,"Access to suspicious sites, email, by flash"
737,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,1.5,"When the program loads the virus automatically and once the program is running, the virus is activated and releases itself to conjunction with another program until the whole machine becomes viruses and we find a computer memory survey damaged information"
738,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,5,"E-mail, software download from Internet, access to suspicious sites"
739,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,1.75,"Visit unsafe web sites and download useful programs, but carry the viruses"
740,What are the most prominent ways of spread viruses?,E-mail and software downloaded from internet especially from suspicious sites,2.25,"Do not use antivirus, pornographic sites, download crack and patchware"
741,Recall physical traits that are usually used in vital measurement,DNA - Iris - Hand Fingerprint - Fingerprint - Face,4,"Fingerprint / iris, face details, DNA."
742,Recall physical traits that are usually used in vital measurement,DNA - Iris - Hand Fingerprint - Fingerprint - Face,5,"DNA, fingerprint, hand fingerprint, iris eye, retina for eye and face"
743,Recall physical traits that are usually used in vital measurement,DNA - Iris - Hand Fingerprint - Fingerprint - Face,5,"DNA, iris, fingerprint, fingerprint, flip"
744,Recall physical traits that are usually used in vital measurement,DNA - Iris - Hand Fingerprint - Fingerprint - Face,4,"DNA, iris, face, hand fingerprint."
745,Recall physical traits that are usually used in vital measurement,DNA - Iris - Hand Fingerprint - Fingerprint - Face,4,"Fingerprint, hand fingerprint, face, iris."
746,Recall physical traits that are usually used in vital measurement,DNA - Iris - Hand Fingerprint - Fingerprint - Face,1.75,"Fingerprint reader, eye lens reader, e-mail reader, qualities: fingerprint, eye lenses, lamettes and flip, and walking way."
747,Recall physical traits that are usually used in vital measurement,DNA - Iris - Hand Fingerprint - Fingerprint - Face,4,"Eye, fingerprint, fingerprint, hand, face, horny eye."
748,Recall physical traits that are usually used in vital measurement,DNA - Iris - Hand Fingerprint - Fingerprint - Face,3.5,"Fingerprint, fingerprint, retina, horny eye, face, sound, lamp, DNA."
749,Recall physical traits that are usually used in vital measurement,DNA - Iris - Hand Fingerprint - Fingerprint - Face,3.25,"Fingerprint, Eye, Each face, hand shape"
750,Recall physical traits that are usually used in vital measurement,DNA - Iris - Hand Fingerprint - Fingerprint - Face,3.5,"Hand fingerprints, fingerprints, iris eye, face"
751,Recall physical traits that are usually used in vital measurement,DNA - Iris - Hand Fingerprint - Fingerprint - Face,3.75,"Fingerprint, iris, hand shape."
752,Recall physical traits that are usually used in vital measurement,DNA - Iris - Hand Fingerprint - Fingerprint - Face,3,"Al-Ain, fingerprint, fingerprint."
753,Recall physical traits that are usually used in vital measurement,DNA - Iris - Hand Fingerprint - Fingerprint - Face,4.5,"Fingerprint, fingerprint, fingerprint, eye, sound, face."
754,Recall physical traits that are usually used in vital measurement,DNA - Iris - Hand Fingerprint - Fingerprint - Face,3.25,"Fingerprint, retina Eye Eye."
755,Recall physical traits that are usually used in vital measurement,DNA - Iris - Hand Fingerprint - Fingerprint - Face,4,"Fingerprint, fingerprint, fingerprint, eye, audio, flip, DNA, eye network."
756,Recall physical traits that are usually used in vital measurement,DNA - Iris - Hand Fingerprint - Fingerprint - Face,3.25,"DNA, genetic footprint, hand scanner, iris eye and retina"
757,Recall physical traits that are usually used in vital measurement,DNA - Iris - Hand Fingerprint - Fingerprint - Face,4,"Used by a member or part of the Ginsman, face, fingerprint, eye background, retinal copies, hand fingerprint."
758,Recall physical traits that are usually used in vital measurement,DNA - Iris - Hand Fingerprint - Fingerprint - Face,4,"Eye, eye network, eye fingerprint, DNA."
759,Recall physical traits that are usually used in vital measurement,DNA - Iris - Hand Fingerprint - Fingerprint - Face,3.25,"Fingerprint) Fingerprint (, Eye) Survey (Audio) Hear the voice of the person concerned (, hand) hand scanner (."
760,Recall physical traits that are usually used in vital measurement,DNA - Iris - Hand Fingerprint - Fingerprint - Face,4,"Fingerprint, hand fingerprint, know the face."
761,Recall physical traits that are usually used in vital measurement,DNA - Iris - Hand Fingerprint - Fingerprint - Face,3.5,"Flip, fingerprint, nuclear acid, eye-catching."
762,Recall behavioral qualities that are usually used in biometric measurement,Sound - Manual Sign - Keyboard Blows,3.5,"We have the following wired recipes: Audio, DNA analysis, email e-mail, keyboard strikes."
763,Recall behavioral qualities that are usually used in biometric measurement,Sound - Manual Sign - Keyboard Blows,1,"Fingerprint, hand, cornea (, psoriasis, hearing) sound ("
764,Recall behavioral qualities that are usually used in biometric measurement,Sound - Manual Sign - Keyboard Blows,5,"Audio that is considered from the rumors of the era where the system works on audio analysis, but a quiet environment must have manual delivery: and it is the same traditional spacing on a sensitive screen using a digital pen where the system is encrypted, keyboard strikes."
765,Recall behavioral qualities that are usually used in biometric measurement,Sound - Manual Sign - Keyboard Blows,3.5,"Sound, keystrokes."
766,Recall behavioral qualities that are usually used in biometric measurement,Sound - Manual Sign - Keyboard Blows,5,"Sound, manual signature, keyboard strikes."
767,Recall behavioral qualities that are usually used in biometric measurement,Sound - Manual Sign - Keyboard Blows,3,"Sound: The user is recognized by its audio, manual description: Special spaces recognized by the program for each user, keyboard strikes: The user keyboard is recorded"
768,Recall behavioral qualities that are usually used in biometric measurement,Sound - Manual Sign - Keyboard Blows,0,"DNA, eye blade, finger blade."
769,Recall behavioral qualities that are usually used in biometric measurement,Sound - Manual Sign - Keyboard Blows,5,"Sound: Where sound is analyzed in a quiet environment across a microphone, manual signature: where manual signature is analyzed in touch screens, keyboard strikes: User clicks are analyzed by keyboard connected."
770,Recall behavioral qualities that are usually used in biometric measurement,Sound - Manual Sign - Keyboard Blows,0,"Learn the fingerprint, identify the eyes."
771,Recall behavioral qualities that are usually used in biometric measurement,Sound - Manual Sign - Keyboard Blows,3,"Sound, DNA analysis"
772,Recall behavioral qualities that are usually used in biometric measurement,Sound - Manual Sign - Keyboard Blows,1,"Fingerprint, hand, cornea (, psoriasis, hearing) sound (,"
773,Recall behavioral qualities that are usually used in biometric measurement,Sound - Manual Sign - Keyboard Blows,3.5,"Electronic Sound, Audio"
774,Recall behavioral qualities that are usually used in biometric measurement,Sound - Manual Sign - Keyboard Blows,5,"Sound, handwriting, keyboard strikes"
775,Recall behavioral qualities that are usually used in biometric measurement,Sound - Manual Sign - Keyboard Blows,4.75,"Sound, keystrokes, electronic signature"
776,Recall behavioral qualities that are usually used in biometric measurement,Sound - Manual Sign - Keyboard Blows,3.75,"Sound, font fingerprint, signature"
777,Recall behavioral qualities that are usually used in biometric measurement,Sound - Manual Sign - Keyboard Blows,5,"Sound, electronic signs, keyboard strikes"
778,Recall behavioral qualities that are usually used in biometric measurement,Sound - Manual Sign - Keyboard Blows,4.75,"Sound, voice knowledge, monitoring keyboard strikes"
779,Recall behavioral qualities that are usually used in biometric measurement,Sound - Manual Sign - Keyboard Blows,1.5,"Speed ​​and pressure on the keyboard, walking method"
780,Recall behavioral qualities that are usually used in biometric measurement,Sound - Manual Sign - Keyboard Blows,3.5,"Sound, keyboard blows"
781,Recall behavioral qualities that are usually used in biometric measurement,Sound - Manual Sign - Keyboard Blows,4.75,"Selection The device acts audio to frequencies and compared with previous data must be in a quiet environment, keyboard strikes, signature used in companies where each factor is signed and compared to the original signature"
782,Recall behavioral qualities that are usually used in biometric measurement,Sound - Manual Sign - Keyboard Blows,3.5,"Electronic signature, audio"
783,Recall behavioral qualities that are usually used in biometric measurement,Sound - Manual Sign - Keyboard Blows,5,Sound - Manual Sign - Method on Keyboard
784,Recall behavioral qualities that are usually used in biometric measurement,Sound - Manual Sign - Keyboard Blows,5,"Sound, manual signature, pressing keyboards"
785,Recall behavioral qualities that are usually used in biometric measurement,Sound - Manual Sign - Keyboard Blows,2.25,Sound fingerprints eyes
786,Recall behavioral qualities that are usually used in biometric measurement,Sound - Manual Sign - Keyboard Blows,3.5,"Sound audio frequencies are recorded in a quiet environment for non-confusion, manual signature signature on the device a scanner by turning it to a number and compared to the last signature"
787,What are the most important techniques for identifying and demonstrating the identity of the user and their powers and responsibilities,"Password, vital measurement, encryption, firewalls, electronic signature.",1.25,"Physical techniques: Fingerprint; Handprint; Iris of the eye; Retina; DNA; Face, behavioral techniques: voice; Manual signature."
788,What are the most important techniques for identifying and demonstrating the identity of the user and their powers and responsibilities,"Password, vital measurement, encryption, firewalls, electronic signature.",2.25,"Dynamic measurement electronic secret numbers, use cards use hand fingerprints and finger recognition. Identify sound / click the signature panel as well."
789,What are the most important techniques for identifying and demonstrating the identity of the user and their powers and responsibilities,"Password, vital measurement, encryption, firewalls, electronic signature.",4,password; Encryption; Dynamic measurement) Dual acid (; Fingerprint; fingerprint; mesh and earthquake; face; audio;
790,What are the most important techniques for identifying and demonstrating the identity of the user and their powers and responsibilities,"Password, vital measurement, encryption, firewalls, electronic signature.",1.75,"Technical: Using passwords, confidential numbers and vital measurement: physical characteristics (iris); DNA ((, behavioral qualities such as sound .., material: cameras ..., administrative: conventions to identify powers and responsibilities."
